Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
871152241,0.066733,0.026677,0.072034,-0.253275,0.044592,0.966504
871154746,0.127706,-0.034004,0.071384,-0.253263,0.044584,0.965776
871157251,0.066647,-0.034396,0.132224,-0.255521,0.042456,0.969400
871159757,0.066859,-0.094960,0.071184,-0.253291,0.040937,0.965820
871162262,0.067072,-0.155523,0.010144,-0.251089,0.042370,0.965117
871164767,0.128216,-0.094058,-0.110886,-0.256198,0.043895,0.967185
871167272,0.128153,-0.033240,-0.110461,-0.254676,0.043103,0.962854
871169778,0.067031,0.027187,-0.049196,-0.254731,0.040940,0.965064
871172283,0.006058,0.087868,-0.048545,-0.256161,0.045337,0.965711
871174788,-0.115699,0.026776,-0.048520,-0.252495,0.046749,0.964307
871177294,-0.176546,-0.034180,-0.048720,-0.250337,0.040879,0.962965
871179799,-0.115785,-0.034297,0.011670,-0.253223,0.041624,0.962172
871182304,-0.115848,0.026521,0.012095,-0.256917,0.043163,0.966451
871184809,-0.176758,0.026384,0.012321,-0.253960,0.040171,0.962175
871187315,-0.176758,0.026384,0.012321,-0.253928,0.039416,0.960000
871189820,-0.176758,0.026384,0.012321,-0.254645,0.043815,0.961389
871192325,-0.055150,0.087222,0.072910,-0.254688,0.041644,0.962872
871194830,0.066521,0.087241,0.133075,-0.256228,0.041715,0.967939
871197336,0.066733,0.026677,0.072034,-0.254012,0.041672,0.965797
871199841,0.066882,0.026932,0.011419,-0.256947,0.040983,0.967206
871202346,0.006121,0.027050,-0.048970,-0.253990,0.046057,0.966472
871204852,-0.054703,0.087986,-0.108935,-0.255453,0.043143,0.965752
871207357,-0.115550,0.027031,-0.109135,-0.256905,0.043154,0.965724
871209862,-0.115423,-0.094606,-0.109985,-0.256931,0.044639,0.967890
871212368,0.067284,-0.216087,-0.050896,-0.262005,0.042475,0.966362
871214873,0.188892,-0.155249,0.009693,-0.252546,0.040185,0.964387
871217378,0.249738,-0.094294,0.009893,-0.251710,0.044504,0.959980
871219884,0.249887,-0.094039,-0.050722,-0.256211,0.043904,0.967913
871222388,0.188977,-0.094176,-0.050496,-0.259864,0.041015,0.967878
871224894,0.188977,-0.094176,-0.050496,-0.253982,0.043852,0.965043
871227399,0.127855,-0.033749,0.010769,-0.252581,0.045342,0.968693
871229904,0.066733,0.026677,0.072034,-0.256173,0.043878,0.965729
871232410,0.066733,0.026677,0.072034,-0.258406,0.041733,0.967897
871234915,0.066670,0.087496,0.072460,-0.255514,0.041718,0.968681
871237420,0.066819,0.087750,0.011845,-0.249627,0.045284,0.965837
871239925,0.066882,0.026932,0.011419,-0.253971,0.045311,0.965025
871242431,0.006184,-0.033769,-0.049395,-0.254733,0.043875,0.966485
871244936,0.006035,-0.034023,0.011220,-0.253995,0.043860,0.965771
871247441,0.005886,-0.034278,0.071835,-0.254808,0.042459,0.970142
871249947,0.127706,-0.034004,0.071384,-0.258381,0.041716,0.966441
871252452,0.188851,0.027461,-0.049646,-0.260574,0.044677,0.968547
871254969,0.127878,0.088142,-0.048996,-0.254026,0.043148,0.967236
